repo_id_left,repo_name_left,repo_id_right,repo_name_right,cooccurrence_count
26066727,mermaid-js/mermaid,54173593,storybookjs/storybook,47
33614304,nvbn/thefuck,35866694,RocketChat/Rocket.Chat,47
61893399,brillout/awesome-react-components,88011908,practical-tutorials/project-based-learning,47
65388917,jakevdp/PythonDataScienceHandbook,71583602,Developer-Y/cs-video-courses,47
74791366,ryanmcdermott/clean-code-javascript,126577260,trekhleb/javascript-algorithms,47
110058856,LeCoupa/awesome-cheatsheets,162998479,sherlock-project/sherlock,47
599547518,vllm-project/vllm,671269505,BerriAI/litellm,47
931135,Leaflet/Leaflet,12256376,ionic-team/ionic-framework,46
1362490,psf/requests,1644196,JuliaLang/julia,46
1362490,psf/requests,5625464,pyenv/pyenv,46
5625464,pyenv/pyenv,14440270,getify/You-Dont-Know-JS,46
7569578,discourse/discourse,15062869,jestjs/jest,46
11730342,vuejs/vue,70107786,vercel/next.js,46
12256376,ionic-team/ionic-framework,29028775,react/react-native,46
14440270,getify/You-Dont-Know-JS,23083156,mui/material-ui,46
22670857,enaqx/awesome-react,70107786,vercel/next.js,46
23088740,axios/axios,62367558,vercel/hyper,46
27193779,nodejs/node,63537249,react/create-react-app,46
54173593,storybookjs/storybook,65750241,expo/expo,46
61893399,brillout/awesome-react-components,65750241,expo/expo,46
61893399,brillout/awesome-react-components,133442384,denoland/deno,46
103633984,goldbergyoni/nodebestpractices,139824423,Avik-Jain/100-Days-Of-ML-Code,46
552661142,langchain-ai/langchain,614765452,Significant-Gravitas/AutoGPT,46
931135,Leaflet/Leaflet,15062869,jestjs/jest,45
4164482,django/django,5625464,pyenv/pyenv,45
9384267,electron/electron,12888993,home-assistant/core,45
9384267,electron/electron,19745004,odoo/odoo,45
9384267,electron/electron,23088740,axios/axios,45
9384267,electron/electron,62367558,vercel/hyper,45
11730342,vuejs/vue,21289110,vinta/awesome-python,45
11730342,vuejs/vue,62367558,vercel/hyper,45
12888993,home-assistant/core,20929025,microsoft/TypeScript,45
15062869,jestjs/jest,33884891,apache/airflow,45
19745004,odoo/odoo,26066727,mermaid-js/mermaid,45
22670857,enaqx/awesome-react,75104123,prettier/prettier,45
35866694,RocketChat/Rocket.Chat,47018239,DopplerHQ/awesome-interview-questions,45
54173593,storybookjs/storybook,67274736,ElemeFE/element,45
79162682,laurent22/joplin,107111421,thedaviddias/Front-End-Checklist,45
109343098,serhii-londar/open-source-mac-os-apps,139824423,Avik-Jain/100-Days-Of-ML-Code,45
212639071,bregman-arie/devops-exercises,229764465,Asabeneh/30-Days-Of-JavaScript,45
552661142,langchain-ai/langchain,599547518,vllm-project/vllm,45
931135,Leaflet/Leaflet,9852918,TryGhost/Ghost,44
3214406,meteor/meteor,9852918,TryGhost/Ghost,44
10270250,react/react,21289110,vinta/awesome-python,44
12256376,ionic-team/ionic-framework,12888993,home-assistant/core,44
12888993,home-assistant/core,33884891,apache/airflow,44
21289110,vinta/awesome-python,35866694,RocketChat/Rocket.Chat,44
47018239,DopplerHQ/awesome-interview-questions,88011908,practical-tutorials/project-based-learning,44
54173593,storybookjs/storybook,133442384,denoland/deno,44
80945428,nestjs/nest,88011908,practical-tutorials/project-based-learning,44
88011908,practical-tutorials/project-based-learning,133442384,denoland/deno,44
133442384,denoland/deno,207645083,TanStack/query,44
207645083,TanStack/query,274495425,remotion-dev/remotion,44
522158088,zhayujie/CowAgent,612344730,ChatGPTNextWeb/NextChat,44
7741856,pixijs/pixijs,29028775,react/react-native,43
11730342,vuejs/vue,61893399,brillout/awesome-react-components,43
15062869,jestjs/jest,61893399,brillout/awesome-react-components,43
20929025,microsoft/TypeScript,29028775,react/react-native,43
23083156,mui/material-ui,24195339,angular/angular,43
23088740,axios/axios,35866694,RocketChat/Rocket.Chat,43
29028775,react/react-native,35866694,RocketChat/Rocket.Chat,43
29028775,react/react-native,39464018,apache/superset,43
61893399,brillout/awesome-react-components,135786093,typescript-cheatsheets/react,43
67274736,ElemeFE/element,74791366,ryanmcdermott/clean-code-javascript,43
70107786,vercel/next.js,80945428,nestjs/nest,43
71583602,Developer-Y/cs-video-courses,88011908,practical-tutorials/project-based-learning,43
126577260,trekhleb/javascript-algorithms,162998479,sherlock-project/sherlock,43
455229168,immich-app/immich,568098118,makeplane/plane,43
599547518,vllm-project/vllm,658928958,ollama/ollama,43
612344730,ChatGPTNextWeb/NextChat,621803253,FlowiseAI/Flowise,43
614765452,Significant-Gravitas/AutoGPT,621803253,FlowiseAI/Flowise,43
3214406,meteor/meteor,6498492,airbnb/javascript,42
7569578,discourse/discourse,22670857,enaqx/awesome-react,42
7741856,pixijs/pixijs,20929025,microsoft/TypeScript,42
10270250,react/react,35866694,RocketChat/Rocket.Chat,42
11730342,vuejs/vue,14098069,justjavac/free-programming-books-zh_CN,42
23088740,axios/axios,24195339,angular/angular,42
35866694,RocketChat/Rocket.Chat,39464018,apache/superset,42
54173593,storybookjs/storybook,71583602,Developer-Y/cs-video-courses,42
65600975,pytorch/pytorch,71583602,Developer-Y/cs-video-courses,42
109343098,serhii-londar/open-source-mac-os-apps,112507086,Chalarangelo/30-seconds-of-code,42
192925833,prisma/prisma,274495425,remotion-dev/remotion,42
527591471,AUTOMATIC1111/stable-diffusion-webui,579082810,dair-ai/Prompt-Engineering-Guide,42
579082810,dair-ai/Prompt-Engineering-Guide,614765452,Significant-Gravitas/AutoGPT,42
671269505,BerriAI/litellm,701547123,open-webui/open-webui,42
858127,pandas-dev/pandas,21289110,vinta/awesome-python,41
3214406,meteor/meteor,15062869,jestjs/jest,41
5108051,opencv/opencv,10270250,react/react,41
5625464,pyenv/pyenv,19745004,odoo/odoo,41
10744183,netdata/netdata,33614304,nvbn/thefuck,41
12256376,ionic-team/ionic-framework,23088740,axios/axios,41
12888993,home-assistant/core,33614304,nvbn/thefuck,41
14098069,justjavac/free-programming-books-zh_CN,14440270,getify/You-Dont-Know-JS,41
20929025,microsoft/TypeScript,24195339,angular/angular,41
22670857,enaqx/awesome-react,39464018,apache/superset,41
27193779,nodejs/node,133442384,denoland/deno,41
29028775,react/react-native,33614304,nvbn/thefuck,41
35866694,RocketChat/Rocket.Chat,63537249,react/create-react-app,41
39464018,apache/superset,63537249,react/create-react-app,41
39464018,apache/superset,71583602,Developer-Y/cs-video-courses,41
54173593,storybookjs/storybook,74791366,ryanmcdermott/clean-code-javascript,41
63537249,react/create-react-app,65750241,expo/expo,41
65600975,pytorch/pytorch,88011908,practical-tutorials/project-based-learning,41
65750241,expo/expo,75104123,prettier/prettier,41
74791366,ryanmcdermott/clean-code-javascript,112507086,Chalarangelo/30-seconds-of-code,41
79162682,laurent22/joplin,160919119,fastapi/fastapi,41
133442384,denoland/deno,139824423,Avik-Jain/100-Days-Of-ML-Code,41
139824423,Avik-Jain/100-Days-Of-ML-Code,160919119,fastapi/fastapi,41
172562475,florinpop17/app-ideas,212639071,bregman-arie/devops-exercises,41
527591471,AUTOMATIC1111/stable-diffusion-webui,599320067,langflow-ai/langflow,41
568098118,makeplane/plane,615869301,mudler/LocalAI,41
576201,mrdoob/three.js,10270250,react/react,40
3214406,meteor/meteor,22670857,enaqx/awesome-react,40
7569578,discourse/discourse,11730342,vuejs/vue,40
7569578,discourse/discourse,14440270,getify/You-Dont-Know-JS,40
9384267,electron/electron,14098069,justjavac/free-programming-books-zh_CN,40
9384267,electron/electron,54173593,storybookjs/storybook,40
10744183,netdata/netdata,23083156,mui/material-ui,40
10744183,netdata/netdata,62367558,vercel/hyper,40
12256376,ionic-team/ionic-framework,19745004,odoo/odoo,40
12256376,ionic-team/ionic-framework,54173593,storybookjs/storybook,40
12888993,home-assistant/core,14440270,getify/You-Dont-Know-JS,40
19745004,odoo/odoo,22670857,enaqx/awesome-react,40
22670857,enaqx/awesome-react,33614304,nvbn/thefuck,40
23083156,mui/material-ui,75104123,prettier/prettier,40
26066727,mermaid-js/mermaid,33884891,apache/airflow,40
26066727,mermaid-js/mermaid,39464018,apache/superset,40
28457823,freeCodeCamp/freeCodeCamp,35866694,RocketChat/Rocket.Chat,40
39464018,apache/superset,65388917,jakevdp/PythonDataScienceHandbook,40
61893399,brillout/awesome-react-components,110058856,LeCoupa/awesome-cheatsheets,40
65600975,pytorch/pytorch,79162682,laurent22/joplin,40
